codigo,nombre,parte_analizada,humedad,energia_kcal,energia_kj,proteina,lipidos,carb_totales,carb_disp,fibra,cenizas,calcio,hierro,sodio,fosforo,yodo,zinc,magnesio,potasio,tiamina,riboflavina,niacina,folatos,vit_b12,vit_c,vit_a_er,grasa_sat,grasa_mono,grasa_poli,colesterol,parte_comestible_pct
B069,Pe ÓN Médula 411 313 1310 34 155 382 YHA,,5.0,37.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
B070,"Papa, variedad harinosa, criolla, con cáscara, cocida, sin sal Médula y corteza",,79.4,85.0,358.0,1.4,0.0,18.1,15.2,3.0,1.0,4.0,0.5,2.0,41.0,0.4,21.0,482.0,0.0,100.0,,,,,,,,,,,
B071,"Papa, variedad harinosa, criolla, con cáscara, cruda Médula y corteza.",,75.4,96.0,406.0,22.0,0.1,211.0,205.0,0.6,1.2,1.0,1.0,18.0,36.0,0.11,0.03,2.4,0.0,32.0,2.0,100.0,,,,,,,,,
B072,"Papa, variedad harinosa, criolla, sin cáscara, cruda Médula",,73.2,106.0,448.0,2.0,0.4,233.0,229.0,0.4,1.1,6.0,0.4,52.0,0.3,0.08,0.06,13.0,0.0,9.0,2.0,92.0,,,,,,,,,
B073,,,,,,,,,,,,6.0,10.0,9.0,49.0,3.5,0.4,22.0,417.0,0.09,0.03,1.2,9.0,0.0,13.0,0.0,100.0,,,,
B074,"Papa, variedad harinosa, pastusa, con cáscara, cruda Médula y corteza 71,7 gg",,376.0,2.1,0.1,189.0,17.1,1.8,1.1,,,12.0,0.8,5.0,57.0,0.3,23.0,422.0,0.08,0.03,1.1,16.0,0.0,20.0,0.0,100.0,,,,,
B075,"Papa, variedad harinosa, pastusa, sin cáscara, cruda Médula",,76.2,97.0,410.0,20.0,2.0,209.0,190.0,19.0,8.0,6.0,0.3,6.0,47.0,3.0,0.3,20.0,352.0,0.15,0.02,1.3,9.0,0.0,7.0,1.0,100.0,,,,
B076,,,,,,,,,,,,8.0,0.8,10.0,59.0,2.6,0.3,22.0,445.0,0.11,0.06,1.5,16.0,0.0,18.0,0.0,90.0,,,,
B077,"| Pepino cohombro, crudo | Pulpa sin semillas | 967 | 14, 57| 05| 01| 23| 16|",,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B078,"Pepino de rellenar, crudo Pulpa sin semillas 94,5 21 g",,9.0,0.6,0.2,3.8,3.0,0.8,0.8,,,15.0,0.7,4.0,24.0,10.0,68.0,0.04,0.05,0.2,0.0,14.0,3.0,90.0,,,,,,,
